"id_act";"sp";"weight_category";"sample_catch_ST";"lat";"lon";"fishing_mode";"date_act";"vessel";"id_trip";"landingdate";"ocean";"code_act_type"
"fr.ird.t3.entities.data.Activity#1562947613713#0.8838747074521772";"YFT";"p10";38,2398368483558;-4,45014;64,7168;2;2013-01-08;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.9011637977391561";"BET";"p10";8,53580704219646;-4,78347;63,9668;2;2013-01-05;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.9011637977391561";"YFT";"p10";51,4641929578035;-4,78347;63,9668;2;2013-01-05;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.9510757709872528";"BET";"p10";5,64380955903164;-5,01681;64,9168;2;2013-01-01;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.9510757709872528";"YFT";"p10";16,8571879747205;-5,01681;64,9168;2;2013-01-01;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.9981804502661639";"BET";"p10";5,40601112672442;-4,76681;63,8335;2;2013-01-05;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613713#0.9981804502661639";"YFT";"p10";32,5939888732756;-4,76681;63,8335;2;2013-01-05;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613714#0.16288270720192977";"BET";"p10";1,92326252732527;-7,91681;56,8168;2;2013-01-23;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613714#0.16288270720192977";"YFT";"p10";19,0767374726747;-7,91681;56,8168;2;2013-01-23;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613714#0.16699124410149158";"BET";"p10";1,28217501821684;-7,86681;57,6168;2;2013-01-21;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613714#0.16699124410149158";"YFT";"p10";12,7178249817832;-7,86681;57,6168;2;2013-01-21;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613714#0.3429498430146428";"BET";"p10";1,09900715847158;-8,06681;57,8168;2;2013-01-22;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613714#0.3429498430146428";"YFT";"p10";10,9009928415284;-8,06681;57,8168;2;2013-01-22;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
"fr.ird.t3.entities.data.Activity#1562947613714#0.522625188730518";"BET";"p10";0,457919649363159;-7,78347;56,9668;2;2013-01-23;600;"fr.ird.t3.entities.data.Trip#1562947613713#0.7520528761082289";2013-01-24;2;1
